id,name,parent_id,geo_type,latitude,longitude
567,Utica,new york,City,43.100903,-75.232664
568,Ames,iowa,City,42.034722,-93.62
569,La Habra,california,City,33.9319578,-117.9461734
570,Encinitas,california,City,33.0369867,-117.2919818
571,Bowling Green,kentucky,City,36.9685219,-86.4808043
572,Burnsville,minnesota,City,44.7677424,-93.2777226
573,Greenville,south carolina,City,34.8526176,-82.3940104
574,West Des Moines,iowa,City,41.5772115,-93.711332
575,Cedar Park,texas,City,30.505198,-97.8202888
576,Tulare,california,City,36.2077288,-119.3473379
577,Monterey Park,california,City,34.0625106,-118.1228476
578,Vineland,new jersey,City,39.4863773,-75.0259637
579,Terre Haute,indiana,City,39.4667034,-87.4139092
580,North Miami,florida,City,25.8900949,-80.1867138
581,Mansfield,texas,City,32.5631924,-97.1416768
582,West Allis,wisconsin,City,43.0166806,-88.0070315
583,Bristol,connecticut,City,41.6717648,-72.9492703
584,Taylorsville,utah,City,40.6677248,-111.9388258
585,Malden,massachusetts,City,42.4250964,-71.066163
586,Meriden,connecticut,City,41.5381535,-72.8070435
587,Blaine,minnesota,City,45.1607987,-93.2349489
588,Wellington,florida,City,26.6617635,-80.2683571
589,Cupertino,california,City,37.3229978,-122.0321823
590,Springfield,oregon,City,44.0462362,-123.0220289
591,Rogers,arkansas,City,36.3320196,-94.1185366
592,St. Clair Shores,michigan,City,42.4974085,-82.8963604
593,Gardena,california,City,33.8883487,-118.3089624
594,Pontiac,michigan,City,42.6389216,-83.2910468
595,National City,california,City,32.6781085,-117.0991967
596,Grand Junction,colorado,City,39.0638705,-108.5506486
597,Rocklin,california,City,38.7907339,-121.2357828
598,Chapel Hill,north carolina,City,35.9131996,-79.0558445
599,Casper,wyoming,City,42.866632,-106.313081
600,Broomfield,colorado,City,39.9205411,-105.0866504
601,Petaluma,california,City,38.232417,-122.6366524
602,South Jordan,utah,City,40.5621704,-111.929658
603,Springfield,ohio,City,39.9242266,-83.8088171
604,Great Falls,montana,City,47.4941836,-111.2833449
605,Lancaster,pennsylvania,City,40.0378755,-76.3055144
606,North Port,florida,City,27.044224,-82.2359254
607,Lakewood,washington,City,47.1717649,-122.518458
608,Marietta,georgia,City,33.952602,-84.5499327
609,San Rafael,california,City,37.9735346,-122.5310874
610,Royal Oak,michigan,City,42.4894801,-83.1446485
611,Des Plaines,illinois,City,42.0333623,-87.8833991
612,Huntington Park,california,City,33.9816812,-118.2250725
613,La Mesa,california,City,32.7678287,-117.0230839
614,Orland Park,illinois,City,41.6303103,-87.8539425
615,Auburn,alabama,City,32.6098566,-85.4807825
616,Lakeville,minnesota,City,44.6496868,-93.24272
617,Owensboro,kentucky,City,37.7719074,-87.1111676
618,Moore,oklahoma,City,35.3395079,-97.4867028
619,Jupiter,florida,City,26.9342246,-80.0942087
620,Idaho Falls,idaho,City,43.4916514,-112.0339645
621,Dubuque,iowa,City,42.5005583,-90.6645718
622,Bartlett,tennessee,City,35.2045328,-89.8739753
623,Rowlett,texas,City,32.9029017,-96.56388
624,Novi,michigan,City,42.48059,-83.4754913
625,White Plains,new york,City,41.0339862,-73.7629097
626,Arcadia,california,City,34.1397292,-118.0353449
627,Redmond,washington,City,47.6739881,-122.121512
628,Lake Elsinore,california,City,33.6680772,-117.3272615
629,Ocala,florida,City,29.1871986,-82.1400923
630,Tinley Park,illinois,City,41.5731442,-87.7932939
631,Port Orange,florida,City,29.1383165,-80.9956105
632,Medford,massachusetts,City,42.4184296,-71.1061639
633,Oak Lawn,illinois,City,41.719978,-87.7479528
634,Rocky Mount,north carolina,City,35.9382103,-77.7905339
635,Kokomo,indiana,City,40.486427,-86.1336033
636,Coconut Creek,florida,City,26.2517482,-80.1789351
637,Bowie,maryland,City,39.0067768,-76.7791365
638,Berwyn,illinois,City,41.8505874,-87.7936685
639,Midwest City,oklahoma,City,35.4495065,-97.3967019
640,Fountain Valley,california,City,33.7091847,-117.9536697
641,Buckeye,arizona,City,33.3703197,-112.5837766
642,Dearborn Heights,michigan,City,42.3369816,-83.2732627
643,Woodland,california,City,38.6785157,-121.7732971
644,Noblesville,indiana,City,40.0455917,-86.0085955
645,Valdosta,georgia,City,30.8327022,-83.2784851
646,Diamond Bar,california,City,34.0286226,-117.8103367
647,Manhattan,kansas,City,39.1836082,-96.5716694
648,Santee,california,City,32.8383828,-116.9739167
649,Taunton,massachusetts,City,41.900101,-71.0897674
650,Sanford,florida,City,28.8028612,-81.269453
651,Kettering,ohio,City,39.6895036,-84.1688274
652,New Brunswick,new jersey,City,40.4862157,-74.4518188
653,Decatur,alabama,City,34.6059253,-86.9833417
654,Chicopee,massachusetts,City,42.1487043,-72.6078672
655,Anderson,indiana,City,40.1053196,-85.6802541
656,Margate,florida,City,26.2445263,-80.206436
657,Weymouth Town,massachusetts,City,42.2180724,-70.9410356
658,Hempstead,new york,City,40.7062128,-73.6187397
659,Corvallis,oregon,City,44.5645659,-123.2620435
660,Eastvale,california,City,33.952463,-117.5848025
661,Porterville,california,City,36.06523,-119.0167679
662,West Haven,connecticut,City,41.2705484,-72.9469711
663,Brentwood,california,City,37.931868,-121.6957863
664,Paramount,california,City,33.8894598,-118.1597911
665,Grand Forks,north dakota,City,47.9252568,-97.0328547
666,Georgetown,texas,City,30.6332618,-97.6779842
667,St. Peters,missouri,City,38.7874699,-90.6298922
668,Shoreline,washington,City,47.7556531,-122.3415178
669,Mount Prospect,illinois,City,42.0664167,-87.9372908
670,Hanford,california,City,36.3274502,-119.6456844
671,Normal,illinois,City,40.5142026,-88.9906312
672,Rosemead,california,City,34.0805651,-118.072846
673,Lehi,utah,City,40.3916172,-111.8507662
674,Pocatello,idaho,City,42.8713032,-112.4455344
675,Highland,california,City,34.1283442,-117.2086513
676,Novato,california,City,38.1074198,-122.5697032
677,Port Arthur,texas,City,29.8849504,-93.939947
678,Carson City,nevada,City,39.1637984,-119.7674034
679,San Marcos,texas,City,29.8832749,-97.9413941
680,Hendersonville,tennessee,City,36.3047735,-86.6199957
681,Elyria,ohio,City,41.3683798,-82.1076486
682,Revere,massachusetts,City,42.4084302,-71.0119948
683,Pflugerville,texas,City,30.4393696,-97.6200043
684,Greenwood,indiana,City,39.6136578,-86.1066526
685,Bellevue,nebraska,City,41.1543623,-95.9145568
686,Wheaton,illinois,City,41.8661403,-88.1070127
687,Smyrna,georgia,City,33.8839926,-84.5143761
688,Sarasota,florida,City,27.3364347,-82.5306527
689,Blue Springs,missouri,City,39.0169509,-94.2816148
690,Colton,california,City,34.0739016,-117.3136547
691,Euless,texas,City,32.8370727,-97.0819541
692,Castle Rock,colorado,City,39.3722121,-104.8560902
693,Cathedral City,california,City,33.7805388,-116.4668036
694,Kingsport,tennessee,City,36.548434,-82.5618186
695,Lake Havasu City,arizona,City,34.483901,-114.3224548
696,Pensacola,florida,City,30.421309,-87.2169149
697,Hoboken,new jersey,City,40.7439905,-74.0323626
698,Yucaipa,california,City,34.033625,-117.0430865
699,Watsonville,california,City,36.910231,-121.7568946
700,Richland,washington,City,46.2856907,-119.2844621
701,Delano,california,City,35.7688425,-119.2470536
702,Hoffman Estates,illinois,City,42.0629915,-88.1227199
703,Florissant,missouri,City,38.789217,-90.322614
704,Placentia,california,City,33.8722371,-117.8703363
705,West New York,new jersey,City,40.7878788,-74.0143064
706,Dublin,california,City,37.7021521,-121.9357918
707,Oak Park,illinois,City,41.8850317,-87.7845025
708,Peabody,massachusetts,City,42.5278731,-70.9286609
709,Perth Amboy,new jersey,City,40.5067723,-74.2654234
710,Battle Creek,michigan,City,42.3211522,-85.1797142
711,Bradenton,florida,City,27.4989278,-82.5748194
712,Gilroy,california,City,37.0057816,-121.5682751
713,Milford,connecticut,City,41.2306979,-73.064036
714,Albany,oregon,City,44.6365107,-123.1059282
715,Ankeny,iowa,City,41.7317884,-93.6001278
716,La Crosse,wisconsin,City,43.8013556,-91.2395807
717,Burlington,north carolina,City,36.0956918,-79.4377991
718,DeSoto,texas,City,32.5896998,-96.8570738
719,Harrisonburg,virginia,City,38.4495688,-78.8689155
720,Minnetonka,minnesota,City,44.9211836,-93.4687489
721,Elkhart,indiana,City,41.6819935,-85.9766671
722,Lakewood,ohio,City,41.4819932,-81.7981908
723,Glendora,california,City,34.1361187,-117.865339
724,Southaven,mississippi,City,34.9889818,-90.0125913
725,Charleston,west virginia,City,38.3498195,-81.6326234
726,Joplin,missouri,City,37.0842271,-94.513281
727,Enid,oklahoma,City,36.3955891,-97.8783911
728,Palm Beach Gardens,florida,City,26.8233946,-80.1386547
729,Brookhaven,georgia,City,33.8651033,-84.3365917
730,Plainfield,new jersey,City,40.6337136,-74.4073736
731,Grand Island,nebraska,City,40.9263957,-98.3420118
732,Palm Desert,california,City,33.7222445,-116.3744556
733,Huntersville,north carolina,City,35.410694,-80.8428504
734,Tigard,oregon,City,45.4312294,-122.7714861
735,Lenexa,kansas,City,38.9536174,-94.7335709
736,Saginaw,michigan,City,43.4194699,-83.9508068
737,Kentwood,michigan,City,42.8694731,-85.6447492
738,Doral,florida,City,25.8195424,-80.3553302
739,Apple Valley,minnesota,City,44.7319094,-93.21772
740,Grapevine,texas,City,32.9342919,-97.0780654
741,Aliso Viejo,california,City,33.5676842,-117.7256083
742,Sammamish,washington,City,47.6162683,-122.0355736
743,Casa Grande,arizona,City,32.8795022,-111.7573521
744,Pinellas Park,florida,City,27.8428025,-82.6995443
745,Troy,new york,City,42.7284117,-73.6917851
746,West Sacramento,california,City,38.5804609,-121.530234
747,Burien,washington,City,47.4703767,-122.3467918
748,Commerce City,colorado,City,39.8083196,-104.9338675
749,Monroe,louisiana,City,32.5093109,-92.1193012
750,Cerritos,california,City,33.8583483,-118.0647871
751,Downers Grove,illinois,City,41.8089191,-88.0111746
752,Coral Gables,florida,City,25.72149,-80.2683838
753,Wilson,north carolina,City,35.7212689,-77.9155395
754,Niagara Falls,new york,City,43.0962143,-79.0377388
755,Poway,california,City,32.9628232,-117.0358646
756,Edina,minnesota,City,44.8896866,-93.3499489
757,Cuyahoga Falls,ohio,City,41.1339449,-81.4845585
758,Rancho Santa Margarita,california,City,33.640855,-117.603104
759,Harrisburg,pennsylvania,City,40.2731911,-76.8867008
760,Huntington,west virginia,City,38.4192496,-82.445154
761,La Mirada,california,City,33.9172357,-118.0120086
762,Cypress,california,City,33.8169599,-118.0372852
763,Caldwell,idaho,City,43.6629384,-116.6873596
764,Logan,utah,City,41.7369803,-111.8338359
765,Galveston,texas,City,29.3013479,-94.7976958
766,Sheboygan,wisconsin,City,43.7508284,-87.71453
767,Middletown,ohio,City,39.5150576,-84.3982763
768,Murray,utah,City,40.6668916,-111.8879909
769,Roswell,new mexico,City,33.3942655,-104.5230242
770,Parker,colorado,City,39.5186002,-104.7613633
771,Bedford,texas,City,32.844017,-97.1430671
772,East Lansing,michigan,City,42.7369792,-84.4838654
